text	label
Buen regalo. La compré para regalar y gustó mucho. Parece una antigüedad y al tener imán es muy posible y regalarle.	1
Muy satisfecha. Muy satisfecha. Cumple su función. Es una pasada lo bien que se pliega para guardarla.	1
Cumple con su funccion. La barra es perfecta. Relación calidad - precio estupendo. Me frenaba un poco el precio - tenia dudas, pero al probar el producto, no me arrepiento de haberlo comprado.	1
Gorra Nike. Es demasiado pequeña para hombre	0
Solo para salidas cortas. La banana es muy delgada	0
Falta de profesionalidad en los envíos. No me ha gustado el que no he recibido aún el paquete. Se supone que correos express lo enviaba el sábado 1 de junio y no sólo no lo han enviado sino que se permiten el lujo de decirme que han echo dos intentos de entrega lo cual es mentira por ir a las horas a las que dice haber intentado la entrega yo si estaba en casa además de otros tres miembros de mi familia. Ya es la tercera vez que me ha ocurrido esto y por lo menos se espera que no mientan aunque el pedido llegue otro día ya que al cliente le condicionan a estar en su domicilio. Atte; un cliente un poco enfadado.	0
Buen producto. Buen producto. Cumple con las expectativas.	1
Correcto. Todo bien salvo que no tiene lector de presion arterial y es justo lo que necesitaba. El sueño no logro conectarlo. El resto, funciones sencillas.	1
No comprar muy muy malas. No se parece en nada al producto hace su función perooooo yo no las compraría	0
Fiabilidad en la compra. Todavía no he recibido el envío.	0
Comodidad. Harto de que me doliera el "culo" me decidi por este, habia probado almoadillas pero no hay color. Realmente comodo	1
Balón de baloncesto mixto. El balón mixto, indoor/outdoor, llega desinflado pero bien empaquetado. Después de unos 2 meses de uso, hay que señalar que no es válido para jugar en exterior, porque se estropea el material y se pela.	0
Calidad precio. Calidad estupenda a un precio muy competitivo.	1
Un pulsómetro muy fiable.. Un pulsómetro de pecho muy fiable. Es muy cómodo y se adapta perfectamente gracias a su cinta regulable en anchura. Se conecta tanto a través de Bluetooth cómo de Ant+. Tiene una aplicación para hacer ejercicio pero no es muy completa, aparte está en inglés. Por lo demás es un gran producto.	1
Gorra para niños. Gorra con talla y calidad bastante buena.	1
Práctica. Muy buena y cómoda, es práctica	1
He tenido que devolverlo. Son los Speedo, son Buenos. Lo único que deberían hacer mayor esfuerzo en clarificar las tallas.	1
Bolsa deporte básica. Bolsa de deporte muy senzilla y básica.	0
Inmaculada Ángel Sánchez. Encaja perfectamente y además se sigue viendo el dibujo que lleva el patinete. Protege perfecto los arañazos y es fácil de montar.	1
No esta mecanizada como en la foto.. Tengo pendiente montarlo y verificar que funcione según lo previsto pero desde luego no esta mecanizada. Es aluminio forjado/estampado. No tiene mala pinta pero esta claro que que la cualidades mecánicas no serán las mismas. Todo y con esto....por este precio que se puede pedir.	0
Mala calidad. Los adeshivos se estan rompiendo y muchos ya casi no pegan, y es solo la 3a semana que lo tengo...	0
Mala. Mal tuve que pedir otra a la semana se veía luz por la parte superior y el táctil iba mal	0
LE FALTA UNA TAPA. AL PRODUCTO LE FALTA LA TAPA REDONDA QUE PROTEGE EL ACCESO DE SUCIEDAD A LA BOMBONA DE GAS. POR LO DEMAS BIEN	1
Acabados perfectos. Producto original de gran calidad, con acabados excelentes!!	1
Muy mala calidad. No ha durado ni un año y ya no carga	0
Fragil. Demasiado frágiles para mi gusto	0
Bien. Relación calidad-precio buena	1
Desengrasante para bicicleta. Cumple su cometido, desengrasar, pero nada que no haga Fairy y similares.	1
C. Por el precio no se puede pedir más, un reloj normalito, está bien y llegó en el tiempo previsto de entrega.	0
intrucciones. No vienen en español y eso no puede ser...	0
Camiseta un poco corta de tiro. Pidiendo la talla correcta son un poco cortas ,	0
Correcto. No es un producto de una gran calidad, pero cumple perfectamente su función y no se puede pedir más por menos. Saludos	1
FALTA DE INFORMACIÓN. En ningún momento ves en algún sitio que estás comprando un solo bastón. Los bastones de Trail se compran por parejas pues necesitas los dos para desarrollar la práctica deportiva. Totalmente engañado con el producto cuando abres el paquete y solo viene un único bastón...	0
Algo incomodo. Algo incomodo, aunque de calidad	0
Una cadena para la bici. La compre por que es la misma con la que me venia la bici. Mire otras marcas y no había grandes mejoras por un precio similar. Además esta trae el eslabón rápido con lo que es una ventaja. Cuando la tenga que volver a cambiar, volveré a comprar la misma	1
Producto no entregado. Este producto no lo puedo valorar porque no me ha llegado nunca el pedido	0
Lo recomiendo. Es perfecto, era para un regalo, y le abriga un montón, se lo pone siempre.	1
Muy buena calidad. Muy buena calidad. Funcionan perfectamente	1
No conserva la temperatura tantas horas como dicen. Compré este termo porque ya tenía otro de la misma marca de menos capacidad y funcionaba muy bien, en cambio este no guarda tanto tiempo la comida caliente y si llevas algún alimento líquido pierde un poco, con lo que hay tener cuidado de no tumbarlo. Lo bueno que tiene es que al tener un gran diámetro es muy cómodo para comer directamente de él además de llevar otro compartimento para llevar otro alimento y que no se mezclen.	0
Frio. Se pasa frío cuando vas por carretera	0
Rueda bonita pero poco funcional. Producto visualmente bonito pero después de unas semanas noto que la rueda no se adapta bien a la llanta y cuando circulo con la bici noto que el neumático no es plano. He revisado la llanta y la goma interior y es problema del neumático. Para un uso diario yo no lo recomiendo.	0
Sin usarlo. Todavía no lo he usado. Tiene buena pinta..	1
No me ha gustado mucho. No es lo q esperaba, tienes los números pequeño no lo veo bien la batería me dura 2 días y nose suele quedar en la hora salta mucho de una función a otra es bonito por eso le doy la dos estrella	0
Mala compra. Desastre las medidas	0
Está bien, aunque mi conejo lo odia. El arnés en si está bien, la correa al ser elastica no es muy cómoda pero el arnés se adapta bien, solo que mi conejo lo odia a muerte no lo quiere ni loco.	0
Calcetines de compresión.. El tejido es agradable y cumple bien su función compresiva. Por contra el tallaje es excesivamente grande, la manga sube por encima de las rodillas.	0
Saco ligero a buen precio. Lo utilicé para dormir en albergues durante el Camino de Santiago en Abril. Es bastante ligero y razonablemente compacto, en Decathlon sacos similares valen 3 veces más. Para interiores me fue perfectamente, en ropa interior y quizás con una manta por encima si no había calefacción (la manta me la proporcionaron en todos los albergues en los que estuve). En teoría se puede unir a un saco de la misma marca, aunque no lo conseguí.	1
No se ajustan las expectativas. No se ajustan las expectativas de la correa para el reloj garmin vivosmart hr.	0
Buena mochila. Resistente y de calidad	0
No funcionan. No se me conectan al ordenador así que las devuelvo...	0
Fco, javier arribas. Pedi la talla M y me llego la talla XXL Mando la foto por aqui , por que no puedo de otra forma	0
Pequeñas.. Pequeñitas, muy pequeñitas.	0
MUY BUEN RODILLO. Llevo ya casi 3 años con el rodillo y ni un problema, funciona como el primer día.	1
Son elásticas!. En el anuncio ponía en una parte que eran rígidas y en otro elásticas, pero eso lo vi después de abrir el paquete. Las quería rígidas que son las que suelo utilizar. No van mal una vez las coges el punto, pero tienen pinta de que durarán menos que el otro par de Everlast rígidas que tengo.	1
De momento bien. Me a llegado hoy Lo acabo de probar y parece bueno ya veremos. La relación calidad-precio es excelente y la carga con usb lo hace muy cómodo. Como producto esta bien, tiene una especie de silicona que se te sujeta al cuerpo y si que notas las descargas, cuando te lo pones bien notas las contracciones del musculo. Es un buen complemento para fortalecer la musculatura de diferentes zonas del cuerpo, tanto de abdominales, como de bíceps, tríceps o hasta glúteos. Realmente vale para la zona que se quiera utilizar.	1
Esta bien por el precio. Para natación bien, pero pensé que serían más gorditos. Escurren un poco	0
Conforme por el precio.. Bueno en relación calidad-precio. Alguna pieza un poco fragil...pero en general todo se adapta y funciona bien.	1
Correa para Xiaomi amazfit bip. Ya tenia muy estropeada mi correa original del amazfit asi que me decidí por esta, ya que me gustaba el diseño y la verdad que me ha gustado, es un diseño deportivo y cómodo. El material es similar al de la correa original con un diseño bastante moderno y cómodo.	1
De resistente nada. Se ha roto con una sola salida, muy malo. Es muy fino y los ojales se han rajado, necesita refuerzos en los ojales.	0
Está bien. Menos potencia de la que pensaba.	0
Que funcione correctamente.. El producto falla desde el primer día, y ahora ya ni siquiera se enciende	0
Casco. Me a gustado el diseño y es cómodo precio calidad está muy bien	0
Bien. Fácil de usar y compacto	1
NO ES RESISTENTE AL AGUA. he comprado este producto en el mes de febrero de 2019 y al mojarse con el agua se ha estropeado por lo que la publicidad que hacen de que el reloj es resistente al agua es falsa.	0
Monocular. Muy buen monocular, lo uso para cuando me voy al monte ver el paisaje a lo lejos y a parte de que se ve perfecto, puedo enfocar el objetivo bastante bien sin ningun problema y también echar fotos con el movil y se ven bastante bien.	1
Bien, lo esperado. Bien, trae bastantes cosas como se detalla, pero también es verdad que son cosas de muy poco valor (tiritas, vendas, la brújula o las tijeras son de juguete casi, etc) al final igual se podría ajustar un poco más el precio del producto, pero bueno, no está mal, cumple lo esperado.	0
Pulsera de pareja. Son muy bonitas. A mi chico le ha gustado mucho.	1
Todo bien!. Camiseta transpirable fina Le gustó mucho	1
Para nada lo que pedí. Pedí las zapatillas completamente blancas de piel y me llegaron de tela con las líneas Roja y azul. Para nada lo que pedí. Muy descontenta.	0
Buena calidad. Estoy contento con la luz trasera de bicicleta,a la que frenas,enseguida se enciende como si estuvieses frenando, da buena luz,vi los comentarios y al principio me heche a tras,pero al probarla vi que la luz que da es buena,queda muy bien debajo del asiento y facil de instalar,te viene con bridas para el amarre.	1
Cómoda y útil. Tenía unos defectuosos en la goma del cierre	0
Buen producto.. Buena relación calidad precio, ok.	1
No absorbe demasiado. La verdad es que para gimnasio como las anuncian son demasiado pequeñas, apenas puedes ponerla en una máquina porque no cubre el respaldo, además no absorbe demasiado.	0
Mola. Perfecto, a mi esposo le encanto. Es un producto de excelente calidad. Lo recomiendo!	1
Un detalle. Hay muchas veces que giras la muñeca y no se enciende la pantalla. Los pasos y a veces la sincronización tiene algún que otro fallo	0
No es muy fiable. Pros: buena batería, buen GPS y precio económico. Contras: mala sincronización a traves del bluetooth, y que a los dos años y 3 meses dejo de funcionar el conector (no carga ni sincroniza a traves del PC)	0
llegó antes de lo previsto. Es muy manejable. Lo peor es la calidad de las gomas. La naranja, a los 3 dias de uso se rompió.	1
No me a llegado. Hola me decís que valore el pedido y todavía estoy esperando a que me llegue!	0
Pequeño. Pequeño, no me llega a cubrir la cintura	0
COMODIDAD. Ante todo, que sea cómodo y se acople bien al coxis,las letras y dibujo se van con el roze en un periquete.	1
Perfecto. Buena calidad. Calidad/precio sobresaliente	1
Gusta. Compre este relog para mi hija y le ha gustado, la correa es morada pero se pueden comprar otros colores aparte y cambiar, conecta perfectamente con el movil y avisa de las notificaciones	1
Pequeño. Bidón pequeño, cabe la camara, un par de desmontadores. La bomba pequeña no entra, no se puede cerrar el bidon	0
sin manual en español . .... Lamentable ya q le faltan las hojas de castellano en el manual,se las salta y se hace muy muy difícil de programar	0
Opinión. Las chapas son un poco débiles y los fogones no tienen mucha llama. El precio no es muy elevado pero esperaba algo más de calidad ¡	0
Llegaron pronto. Las combinó con la ropa	1
Relación calidad precio. Buenas bolas , buena presión y durabilidad,hasta 3 partidos a 3 sets sin tener que cambiarlas,satisfecho	1
Mala calidad. No tiene potencia de tiro ....Una plancha de 1 cm de poliexpan no la atraviesa a 10 MTS.	0
Bien pensado pero de muy mala calidad. Son útiles pero he tenido que tirar uno ya que se rompen por la goma de la pinza. No pienso comprar más. No es un producto recomendable	0
Es el artículo que deseaba mi hija. Está muy bien, la talla se corresponde con la edad de la pequeña. Los colores varían un poco, pero es muy parecido. Todavía no lo ha probado en el agua, por lo que no se si destiñe. Ahora falta comprar la aleta de plástico para insertarla dentro.	1
Malo.. Si pudiese le quitaba estrellitas en lugar de sumar. Anuncia 500ml y son 400. Ha durado dos salidas. Pierde el agua por uno de los plieges.	0
huele un poco el material. huele un poco el material utilizado , aunque cumple su función perfectamente, ademas hay que tener en cuenta cuando compres si es mano izquierda o mano derecha, no es igual para las dos manos.	0
Correctas. El mango tiene una pequeña deformidad, no es totalmente redondo, pero no importa, peso correctamente, estan bien equilibradas, recubiertas de goma y son bonitas	1
Color mal. El color del producto no esta muy conseguido, no es estandar ni atractivo. La calidad tampoco es muy acertada y	0
El cierre es simple, no como en la foto. Me gustó que podía cerrar el cable con el doble nudo, pero lo que me ha llegado es un cierre para solo el tamaño de un cable. Mal!	0
No me dan soluciones a la devolución.. Lo quería como reloj, pero realmente no es, solo vino la correa, una decepción sobre el producto y una odisea, para que me hiciesen la devolución del importe, ya que no quería el artículo por que no era un reloj, como muestra la foto de venta.	0
Mala calidad. No son para mujer (como dice el producto) salvo que sean una mujer XXL que mida 2 metros. No duran 6 horas desde luego, con suerte 30 minutos. Y no calientan casi, desde luego no alcanzan los 65 grados que indican.	0
No muy útil. No me ha resultado útil para lo que quería. La trabilla para el cinturón es muy estrecha y nada fácil de poner y quitar	0
Buen producto. Considero que es un buen articulo, queda bien sujeto a la cabeza, se adapta sin apretar ni quedarse olgado a las medidas standard, los acabados son decentes, quizas merezca 4 estrellas en vez de 3, pero seria asi si fuese acorde con el precio, considero que no deberia valer mas de 10 euros. La tengo en blanco y queda genial	0
Caro y calidad 0,0 se descolora y mancha el resto de ropa solo usándolo puesto. Muy caro para la poca calidad una malísima compra.	0
SACAN RUIDO. Tienen buena pinta, pero a la segunda salida me han empezado a sacar mucho ruido y en seco, algunas pastillas que he tenido sacaban ruido en mojado.	0
Recomendable. Ha llegado en la fecha marcada y cumplido con las expectativas.	1
SIN MÁS UN REMO. Nada que decir. Tal cual se ve en la imagen.	1
Genial para ejercitar el musculo.. Compré este producto por recomendación del médico y estoy super contenta con él. Realmente notas que el musculo está trabajando y, aunque no vayas a notar resultados inmediatos, te sientes genial tras una sesión con el electroestimulador. Noto que el nivel 1 es bastante potente, pero es totalmente soportable así que genial.	1
Devolución. Celeritas me indica que no ha podido contactar para la devolución y no es así , devolví los dos productos en el mismo paquete y uno se abono y el otro no, no lo entiendo	0
