text	tag
Contents	1
3. Background and rationale	1
3.1 Background	1
    3.2 Rationale	1
Categories of fraudulent transactions to be reported	1
Scope and addressees	1
Reporting burden: frequency of reporting, date of application and level of detail	1
Frequency	1
Date of application	1
Level of detail	1
4. Guidelines	1
1. Compliance and reporting    obligations	1
Status of these Guidelines	1
Reporting requirements	1
    2. Subject matter, scope and        definitions	1
Subject matter	1
Scope of application	1
Addressees	1
12. These Guidelines are addressed to:	1
Definitions	1
Date of application	1
3.1 Guidelines on fraud data reporting     applicable to Payment Service     Providers	1
Guideline 1: Payment transactions and fraudulent payment              transactions	1
Guideline 2: General data requirements	1
Guideline 4: Geographical breakdown	1
Guideline 6: Recording/reference dates	1
Guideline 7: Data breakdown	1
Guideline 1: Payment transactions and fraudulent payment              transactions	1
Guideline 2: Data collection and aggregation	1
Guideline 3: Practical data reporting	1
Annex 1 – General data to be provided by all reporting payment service providers	1
Annex 2 – Data reporting requirements for payment service providers	1
5. Accompanying documents	1
       5.1 Cost-benefit analysis	1
A. Problem identification and baseline scenario	1
B. Policy objectives	1
C. Options considered and preferred options	1
Guideline 4: Geographical breakdown and reporting	1
Guideline 5: Reporting to the competent authority	1
Guideline 6: Reporting dates	1
Summary of key issues and the EBA’s response	1
EBA’s response to the Banking Stakeholder Group’s submission	1
Summary of responses to the consultation and the EBA’s analysis	1
Contents	1
Background and rationale	1
Objective and structure of the guidelines	1
Legal basis and application	1
1. Compliance and reporting obligations	1
Status of these guidelines	1
Reporting requirements	1
2. Subject matter, scope and definitions	1
Subject matter	1
Addressees	1
Definitions	1
3. Implementation	1
Date of application	1
4. NPE strategy	1
4.1 Developing the NPE strategy	1
   4.2.1          Internal capabilities/self-assessment	1
   4.2.2          External conditions and operating environment	1
      4.2.3          Capital implications of the NPE strategy	1
4.3 Development of the NPE strategy	1
      4.3.1          Strategy implementation options	1
      4.3.2           Targets	1
4.4 Implementing the operational plan	1
4.5 Embedding the NPE strategy	1
5. NPE governance and operations	1
5.1 Steering and decision-making	1
5.2 NPE operating model	1
5.2.1         NPE workout units	1
     5.2.3         Grouping exposures	1
     5.2.4        Human resources	1
     5.2.5          Technical resources	1
   5.3.1         First line of defence controls	1
   5.3.2         Second line of defence controls	1
   5.3.3         Third line of defence controls	1
     5.4.3         Forbearance activities	1
     5.4.4         Liquidation activities	1
   5.4.5         Other monitoring items	1
6. Forbearance	1
6.1 Forbearance measures and their viability	1
   6.1.1         Viable versus non-viable forbearance	1
6.2 Sound forbearance processes	1
6.2.1         Forbearance policy	1
   6.2.2         Efficiency and effectiveness of forbearance activities	1
   6.2.3         Assessing the borrower’s repayment capacity	1
   6.2.4         Standardised forbearance products and decision trees	1
   6.2.5         Comparison with other NPE workout options	1
     6.2.6         Forbearance targets and monitoring	1
7. NPE recognition	1
7.1 Past due criterion	1
7.2 Indications of unlikeliness to pay	1
7.3 Forbearance and performing status	1
7.3.1         Forbearance	1
   7.3.2         Classification of FBEs as non-performing	1
   7.3.3         Cure/exit from non-performing status	1
   7.3.4         Identification of exposures as performing FBEs	1
7.4 Consistent application of definition of non-performing	1
8. NPE impairment and write-offs	1
8.1 NPE write-offs	1
8.2 NPE impairment and write-offs	1
9. Collateral valuation of immovable and movable property	1
9.1 Governance, procedures and controls	1
9.1.1         General policy and procedures	1
   9.1.2         Monitoring and controls	1
   9.1.3         Individual valuation of immovable property and use of indexation	1
   9.1.4         Appraisers	1
9.2 Frequency of valuations	1
9.3 Valuation methodology	1
9.3.1         General considerations	1
     9.3.2         Expected future cash flow	1
9.4 Further considerations on estimating cash flow from property collateral liquidation	1
9.5 Back-testing	1
9.6 IT database requirements in respect of collateral	1
Annex 1 – Sample criteria for grouping retail NPEs	1
Annex 2 – Benchmarks for NPE monitoring metrics	1
 Benchmarks for NPE monitoring metrics	1
 NPE metrics	1
Annex 3 – Other monitoring metrics	1
 Borrower-level information from external sources	1
Accompanying documents	1
A. Problem identification	1
B. Policy objectives	1
C. Baseline scenario	1
D. Options considered	1
E. Assessment of the options and cost–benefit analysis	1
Scope of implementation	1
Proportionality	1
Introduction of a threshold	1
 General comments	1
Exercising judgement	1
Responding with the provisional lists	1
Identification of the core services by competent authorities	1
Compliance and reporting obligations	1
Status of these guidelines	1
Reporting requirements	1
Subject matter, scope and definitions	1
Subject matter and scope of application	1
Addressees	1
Definitions	1
Implementation	1
Guideline 2: Exercising judgement when establishing the provisional lists	1
Guideline 3: Responding with the provisional lists	1
Guideline 4: Supporting data and evidence	1
Guideline 5: Submission of the provisional lists	1
Annex: Template for competent authority’s response	1
Type 1 - Account management / maintenance and related services	1
Type 2 – Payment instruments (card and cheque services)	1
Type 3 – Domestic payment services 5	1
Type 4 – International payments and foreign currency-related services	1
Type 5 – Overdraft and overrunning services	1
Accompanying documents	1
Draft cost-benefit analysis/impact assessment Introduction	1
Problem definition and baseline scenario	1
Policy objectives	1
Assessment of options	1
Summary of responses to the consultation and the EBA’s analysis	1
General comments	1
Contents	1
2. Background and rationale	1
2.1 General background	1
2.1.1 Legal framework and relation to other parts of the EU rulebook	1
2.2 Rationale for the guidelines	1
2.2.1 Control	1
2.2.3 Establishing connectedness based on economic dependency	1
2.2.4 Relation between interconnectedness through control and interconnectedness       through economic dependency	1
3. Guidelines	1
1. Compliance and reporting obligations	1
Status of these guidelines	1
Reporting requirements	1
2. Subject matter, scope and definitions	1
Subject matter and scope of application	1
Addressees	1
Definitions	1
3. Implementation	1
Date of application	1
Repeal	1
4. Groups of connected clients based on control	1
5. Alternative approach for exposures to central governments	1
18.The provision also makes clear that:	1
6. Establishing interconnectedness based on economic dependency	1
Economic dependency through a main source of funding	1
8. Control and management procedures for identifying connected clients	1
4. Accompanying documents	1
A. Problem identification	1
B. Policy objectives	1
C. Baseline scenario	1
D. Assessment of options considered	1
E. Cost-benefit analysis	1
Summary of key issues	1
Summary of responses to the consultations and the EBA’s analysis	1
General comments	1
Responses to questions in Consultation Paper EBA/CP/2016/09	1
   Compliance and reporting obligations	1
Status of these guidelines	1
Reporting requirements	1
         Subject matter, scope and definitions	1
Subject matter	1
Scope of application	1
Addressees	1
Definitions	1
         Implementation	1
Date of application	1
4.1. Investments in venture capital firms and/or private equity	1
Contents	1
2.2 Past due criterion in the identification of default	1
2.2.1           Counting of days past due	1
   2.2.2           Technical past due situation	1
   2.2.3        Exposures to central governments, local authorities and public sector         entities	1
   2.2.4           Factoring and purchased receivables	1
   2.2.5           Materiality threshold	1
2.3 Indications of unlikeliness to pay	1
2.3.1           Specific credit risk adjustments (SCRA)	1
   2.3.2           Sale of credit obligations	1
   2.3.3           Distressed restructuring	1
   2.3.4           Bankruptcy	1
2.7 Application of the definition of default for retail exposures	1
2.7.1           Level of application of the definition of default	1
   2.7.2           Pulling effect	1
   2.7.3           Materiality threshold for joint exposures	1
2.8 Documentation, internal policies and risk management processes	1
2.8.1           Documentation	1
   2.8.2           Internal governance	1
3. Draft guidelines	1
1. Compliance and reporting obligations	1
Status of these guidelines	1
Reporting requirements	1
2. Subject matter, scope and definitions	1
Subject matter	1
Scope of application	1
Addressees	1
Definitions	1
3. Implementation	1
Date of application	1
First application of the Guidelines by IRB institutions	1
5. Indications of unlikeliness to pay	1
Non-accrued status	1
Specific credit risk adjustments (SCRA)	1
Sale of the credit obligation	1
Distressed restructuring	1
7. Criteria for the return to a nondefaulted status	1
8. Consistency in the application of the definition of default	1
Overview	1
4. Accompanying documents	1
4.1 Impact assessment	1
A. Problem identification	1
B. Policy objectives	1
C. Baseline scenario	1
D. Options considered	1
Treatment of retail exposures	1
Treatment of the pulling effect	1
Frequency of counting of days past due	1
E. Impacts of the technical options	1
6     ECB statistics on consolidated banking data.	1
Summary of key issues and the EBA’s response	1
General comments	1
1. Compliance and reporting obligations	1
Status of these guidelines	1
Reporting Requirements	1
Title I – Subject matter, scope and definitions	1
1. Subject matter	1
             2. Addressees	1
             3. Definitions	1
      1. Awareness and commitment	1
       3. Appropriateness of the reorganisation strategy and measures	1
Title III – Coordination	1
1. Coordination between resolution and competent authorities	1
Contents	1
Title I - Subject matter, scope and definitions	1
2. The guidelines apply to resolution authorities.	1
Title II - Circumstances amounting to a material threat to financial stability	1
4. Accompanying documents	1
4.1 Cost-benefit analysis/impact assessment	1
Introduction	1
Objectives	1
Summary of responses to the consultation and the EBA’s analysis	1
5. Confirmation of compliance with guidelines and recommendations	1
Contents	1
2. Background and rationale Legal basis and scope of the guidelines	1
Objective of the guidelines	1
1. Compliance and reporting obligations	1
Status of these guidelines	1
Reporting requirements	1
2. Subject matter, scope, addressees and definitions	1
Subject matter	1
Scope of application	1
Definitions	1
3. Implementation	1
Date of application	1
4. Guidelines on credit risk management practices and accounting for expected credit losses	1
4.1 General provisions	1
4.1.1          Application of the principles of proportionality, materiality and symmetry	1
   4.1.2          Consideration of reasonable and supportable information	1
     4.1.3        Consideration of forward-looking information	1
4.2 Principles on credit risk management practices and accounting for expected credit losses	1
4.2.1        Principle 1 — Management body and senior management responsibilities	1
      4.2.2          Principle 2 — Sound ECL methodologies	1
   4.2.5          Principle 5 — ECL model validation	1
   4.2.7          Principle 7 — Common processes, systems, tools and data	1
   4.2.8          Principle 8 — Disclosure	1
      4.3.1          Loss allowance at an amount equal to 12-month ECL	1
28      See IFRS 9, Appendix A, Defined terms.	1
   4.3.2          Assessment of significant increases in credit risk	1
   4.3.3          Use of practical expedients	1
The information set	1
