text	validation
La batería no aguanta más de 10 horas. Después de su uso durante 10 meses la carga sólo dura 10 horas	0
Si pesas mas de 80kg no lo compres!. Pues no cumple mis expectativas porque es dificil de hinchar y si pesas mas de 80 kg se abren las costuras y pierde aire ,en el agua tambien entra agua dentro por las costuras cedidas ,creo q es solo para personas d muy poco peso y relajadas .	0
Perfecto. Perfecto para el soporte, quita toda vibracion del baul. Perfecto	1
Tan dificil es?. No entiendo porque si he comprado 2 iguales una viene con protector de tornillos y otra no	0
Cómodo. Fácil montaje y buen precio	1
Suela antideslizante. No me ha gustado que lo quería para andar por río y no son cómodos porque las piedras hacen daño, es sólo para andar por terreno llano. No es lo que yo quería	0
No está mal. Esperaba algo más, ya que todo lo que he comprado de amazon basics es genial.	0
Perfecta. Es perfecta y muy cómoda a mi hijo le encanta!	1
Empresa ASM de mensajería poco seria.. Engaño de la empresa de transportes ASM, que notifica a AMAZON que ha entregado el paquete en el día para no ser penalizado. En casa esperando el reparto para no faltar y la tarde perdida por culpa de una empresa poco seria de mensajería. Del producto aun no puedo opinar. El disgusto por no tener un regalo en la fecha garantizada, es suficiente para valorar bajo el total.	0
Buen servicio. Llego a tiempo y perfecto	1
Todo correcto.. Me gusta. Cumple su función.	1
No recibo wasap desde mi iPhone. Me gusta todo es muy útil pero hay una cosa que no me gusta que no puedo recibir wasap desde mi iPhone.	1
Demasiado rígido.. En mi opinión es un cinturón demasiado rígido tanto es así que a mi se me ha hecho incómodo nada mas probarlo	0
Algo grande y aparatosa.. Me esperaba otra cosa, que pesaran menos. Las adidas clásicas son mas ligeras. Al final las termine guardando. No las volvería a comprar.	0
Bonitas pero frágiles. Las típicas gafas de sol de efecto espejo. La visión con ellas es buena, los cristales son efectivamente polarizados, lo cual es una ventaja indudable. Atenúan bastante la luz, en ese aspecto son muy correctas. Su punto flojo es la fragilidad. Los cristales están fijados al marco de forma muy poco firme. Ya van un par de veces que limpiando los cristales con la gamuza incluida se me queda el cristal en la mano casi sin hacer fuerza. Y luego no es fácil de colocar en su sitio. Es un aspecto a tener en cuenta. Y creo que tendría fácil solución hacer una fijación algo más enérgica. Por lo demás, correctas.	0
Excelente producto. Muy buen producto. Precio económico.	1
Pequeño. Pequeño, si metes las 3 palas olvídate de meter muchas más cosas	0
No la recomiendo.. La correa es muy buena pero la estructura donde se acopla el reloj, se araña con mucha facilidad y pierde su lacado con el sudor. Me compré otra con mejor precio que aguanta mucho mas el uso continuado.	0
Recomendable. Están muy bien, a mi novio le encanta. Buena calidad, tallaje correcta. No se deforma la costura con los lavados.	1
Cumple justito.. Cumple lo justo para meter una batería y el móvil. Pero se mueve bastante, no como para temer que se caiga pero su para no dejar ver bien en cuanto hay algunos baches	0
Una tapa. Compré varias tapas para cambiarlas por las que tenía originales (que me gustaban mucho pero no había recambios iguales). Van bien pero no dejan de ser una tapa tal cual, la pega es que las botellas son grandes y para beber es un poco rollo. Además hay que lavarlo mucho porque coge olores. De precio está bien y sirve para que puedas seguir disfrutando de tu botella.	0
Mal entregado. Recibí la cámara pero para válvula Schrader en vez de Presta como ponía el detalle del prodcuto	0
Regalo perfecto. Fue un producto para regalo. Les encantó el regalo . Me parece muy buena opción ya que abarca multitud de hoteles y de provincias.	1
Buena relacion calidad precio. Todo perfecto. Contenta con ella	1
Incomodo. Bueno, nunca había llevado ropa interior para MTB, pero si te hace la ruta más cómoda, pero se mueve y llega a bajarse un un poco y te puede hacer la ruta muy incómoda, como me ha pasado a mí..Creo que no compraré más ropa interior de Bici	0
señuelo. valoro con la peor puntuacion, porque este pedido nunca llego a mi casa muchas gracias	0
Lo esperado. Parches de una sola conexión toda la base inferior del parche tiene circuiteria de estimulación. Es ideal para músculos grandes como cuadriceps etc. El producto se adapta a la descripción. Buena adherencia y calidad.	1
Excelente regalo. Para mi padre, hincha madridista de siempre, y de una edad más que respetable, le ha hecho la ilusión de un niño, y, para pasear, en lugar de la gorra rústica tradicional, ahora le gusta más ponerse ésta. Muy buen producto y, en mi caso, excelente regalo de última hora para el día del padre	1
bien cumple. el producto está bien cumple con su cometido aunque la válvula es demasiado larga pero sin problema se adapta perfectamente	1
Perfectos para un garmin 5. Pues poco que decir, son unos simples tapones de goma para tapar el puerto de carga del garmin fenix 5. Encima vienen 10 de distintos colores, vamos que van a durar mas que el reloj. Con 2 o 3 hubiese sido suficiente pero por el precio que tienen pues tengo tapones para todos los amigos que se compren el fenix 5	1
Su eficacia. Me gusto, las uso para proteger la nariz	1
Ok. He visto patas de cabra mejores. No se muy bien porqué, pero no sostiene muy bien la bici, tampoco lo he probado con otra. El sistema de enganche es muy bueno, no daña la bici, simplemente es un poco débil.	0
Satisfecha. Tenía miedo a que me fuesen a quedar pequeños (uso un 39) pero al final van perfectos. Recomiendo la compra.	1
Buena utilidad. Correcto. Es lo que aparece en la foto	1
Regular. La primera impresión fue muy buena por ser ligero pero correcto para un frío moderado. Después de un mes de uso dudo si quedará alguna pluma el año que viene. Cada día asoman 1 o dos plumas que acaban fuera porque son pequeñas. Esperaba mejor acabado de esta marca.	0
El producto no llego. El producto nunca llegó	0
Mala calidad. No lo he probado pero se le ve muy falsos....compraré otros por si acaso....	0
calidad - precio, acordes. Dificultades para elegir el programa y la intensidad por la imposibilidad de ver el programador una vez puesto El estimulador por lo demás sencillo de colocar y conectar	0
Me levanto la piel de la mano. Debido a las formas que tiene con relleno, se me clavaba en el centro de la mano y me termino levantando la piel. Por suerte solo me ocurrió solo a una mano.	0
buen malliot. Buena calidad precio, no me esperaba más	1
