filename	first_sentence	second_sentence	label
1-guideline.txt	34. The EBA considers these arguments to be valid and has therefore agreed to postpone the first     reporting period. Given the changes expected from market participants (and in particular from     those that are not yet collecting payment data under the ECB Regulation on payment statistics),     the detailed data breakdowns and the implementation work required, the EBA has decided to	    change the GL so that they now require the data collection to start in January 2019, with the     exception of the data breakdown on exemptions used when SCA was not applied, for which data     collection will start only from the date of application of the RTS on SCA and CSC on 14 September     2019. The EBA clarifies that fraudulent transactions should be assigned to a specific exemption and     thus reported under one exemption only, even though in theory more than one exemption could     have been applicable. This means that the sum of the data reported under non-SCA exemption     fields should equal the total provided separately under non-SCA field.	1
1-guideline.txt	35. This means that the first reporting period will be H1 2019 for CAs to report data on to the ECB and     the EBA by the end of 2019. This will ensure that consistent and comparable data are collected     ahead of the date of application of the RTS on SCA and CSC for CAs and will enable the EBA to     compare the evolution of fraud across payment services and instruments. This has led to a change     in the date of application in paragraph 14 of the GL under the heading ‘Date of application’ (page	16 of this document).	1
1-guideline.txt	Guidelines	on reporting requirements for fraud data under Article 96(6) PSD2	1
1-guideline.txt	12. These Guidelines are addressed to:	    •   payment service providers as defined in Article 4(11) of Directive (EU) 2015/2366 (PSD2)         and as referred to in the definition of ‘financial institutions’ in Article 4(1) of Regulation         (EU) No 1093/2010, except account information service providers, and to	1
1-guideline.txt	    •   payment service providers as defined in Article 4(11) of Directive (EU) 2015/2366 (PSD2)         and as referred to in the definition of ‘financial institutions’ in Article 4(1) of Regulation         (EU) No 1093/2010, except account information service providers, and to	    •   competent authorities as defined in point (i) of Article 4(2) of Regulation (EU) No         1093/2010.	1
1-guideline.txt	1.1.   For the purposes of reporting statistical data on fraud in accordance with these Guidelines,        the payment service provider should report for each reporting period:	a.   unauthorised payment transactions made, including as a result of the loss, theft or                  misappropriation of sensitive payment data or a payment instrument, whether                  detectable or not to the payer prior to a payment and whether or not caused by                  gross negligence of the payer or executed in the absence of consent by the payer                  (‘unauthorised payment transactions’); and	1
1-guideline.txt	a.   unauthorised payment transactions made, including as a result of the loss, theft or                  misappropriation of sensitive payment data or a payment instrument, whether                  detectable or not to the payer prior to a payment and whether or not caused by                  gross negligence of the payer or executed in the absence of consent by the payer                  (‘unauthorised payment transactions’); and	b.   payment transactions made as a result of the payer being manipulated by the                  fraudster to issue a payment order, or to give the instruction to do so to the                  payment service provider, in good-faith, to a payment account it believes belongs                  to a legitimate payee (‘manipulation of the payer’).	1
1-guideline.txt	1.6.   Payment service providers should report all payment transactions and fraudulent payment        transactions in accordance with the following:	a. ‘Total fraudulent payment transactions’ refer to all transactions mentioned in            Guideline 1.1, regardless of whether the amount of the fraudulent payment transaction            has been recovered.	1
1-guideline.txt	a. ‘Total fraudulent payment transactions’ refer to all transactions mentioned in            Guideline 1.1, regardless of whether the amount of the fraudulent payment transaction            has been recovered.	b. ‘Losses due to fraud per liability bearer‘ refers to the losses by the reporting payment            service provider, its payment service user or others, reflecting the actual impact of            fraud on a cash flow basis. Since the registering of financial losses borne may be            disassociated time-wise from the actual fraudulent transactions and in order to avoid            revisions of reported data purely due to this immanent time lag, the final fraud losses            should be reported in the period when they are recorded in the payment service            provider’s books. The final fraud loss figures should not take into account refunds by            insurance agencies because they are not related to fraud prevention for the purposes            of PSD2.	1
1-guideline.txt	b. ‘Losses due to fraud per liability bearer‘ refers to the losses by the reporting payment            service provider, its payment service user or others, reflecting the actual impact of            fraud on a cash flow basis. Since the registering of financial losses borne may be            disassociated time-wise from the actual fraudulent transactions and in order to avoid            revisions of reported data purely due to this immanent time lag, the final fraud losses            should be reported in the period when they are recorded in the payment service            provider’s books. The final fraud loss figures should not take into account refunds by            insurance agencies because they are not related to fraud prevention for the purposes            of PSD2.	c. ‘Modification of a payment order by the fraudster’ is a type of unauthorised transaction            as defined in Guideline 1.1(a) and refers to a situation where the fraudster intercepts            and modifies a legitimate payment order at some point during the electronic            communication between the payer’s device and the payment service provider (for            instance through malware or attacks allowing attackers to eavesdrop on the            communication between two legitimately communicating hosts (man-in-the middle            attacks)) or modifies the payment instruction in the payment service provider’s system            before the payment order is cleared and settled.	1
1-guideline.txt	c. ‘Modification of a payment order by the fraudster’ is a type of unauthorised transaction            as defined in Guideline 1.1(a) and refers to a situation where the fraudster intercepts            and modifies a legitimate payment order at some point during the electronic            communication between the payer’s device and the payment service provider (for            instance through malware or attacks allowing attackers to eavesdrop on the            communication between two legitimately communicating hosts (man-in-the middle            attacks)) or modifies the payment instruction in the payment service provider’s system            before the payment order is cleared and settled.	d. ‘Issuance of a payment order by the fraudster’ is a type of unauthorised transaction as            defined in Guideline 1.1(a) and refers to a situation where a fake payment order is            issued by the fraudster after having obtained the payer/payee's sensitive payment data            through fraudulent means.	1
1-guideline.txt	2.1.   The payment service provider should report statistical information on:	a. total payment transactions in line with the different breakdowns in Annex 2 and in            accordance with Guideline 1; and	1
1-guideline.txt	a. total payment transactions in line with the different breakdowns in Annex 2 and in            accordance with Guideline 1; and	        b. total fraudulent payment transactions in line with the different breakdowns in Annex	1
1-guideline.txt	2 and as defined in Guideline 1.6(a).	2.2.   The payment service provider should report the statistical information specified in Guideline	1
1-guideline.txt	2.2.   The payment service provider should report the statistical information specified in Guideline	2.1 in terms of both volume (i.e. number of transactions or fraudulent transactions) and value        (i.e. amount of transactions or fraudulent transactions). They should report volumes and        values in actual units, with two decimals for values.	1
1-guideline.txt	4.8 A payment service provider offering payment initiation services should report the executed     payment transactions it initiated and the executed fraudulent transactions it initiated in     accordance with the following:	a. ‘Domestic payment transactions’ refer to payment transactions, where the                  payment initiation service provider and the account servicing payment service                  provider are located in the same Member State;	1
1-guideline.txt	a. ‘Domestic payment transactions’ refer to payment transactions, where the                  payment initiation service provider and the account servicing payment service                  provider are located in the same Member State;	b. ‘Cross-border payment transactions within the EEA’ refer to payment                  transactions, where the payment initiation service provider and the account                  servicing payment service provider are located in different Member States;	1
1-guideline.txt	b. ‘Cross-border payment transactions within the EEA’ refer to payment                  transactions, where the payment initiation service provider and the account                  servicing payment service provider are located in different Member States;	c. ‘Cross-border payment transactions outside the EEA’ refer to payment                  transactions, where the payment initiation service provider is within the EEA and                  the account servicing payment service provider is located outside the EEA.	1
1-guideline.txt	7.2    When providing data on e-money transactions, the payment service provider should include        e-money payment transactions	a.   where the payer’s PSP is identical to the payee’s PSP, or	1
1-guideline.txt	a.   where the payer’s PSP is identical to the payee’s PSP, or	b.   where a card with an e-money functionality is used.	1
1-guideline.txt	7.3    The payment service provider for the purpose of e-money payment transactions should        report data on volumes and values of all payment transactions, as well as volumes and values        of fraudulent payment transactions, with the following breakdowns:	a.        geographical perspective,	1
1-guideline.txt	a.        geographical perspective,	b.         payment channel,	1
1-guideline.txt	b.         payment channel,	c.        authentication method,	1
1-guideline.txt	c.        authentication method,	d.         reason for not applying strong customer authentication (referring to the                     exemptions to strong customer authentication detailed in chapter 3 of the                     Regulatory technical standards on strong customer authentication and common                     and secure communication, Commission Delegated Regulation (EU) 2018/389), and	1
1-guideline.txt	d.         reason for not applying strong customer authentication (referring to the                     exemptions to strong customer authentication detailed in chapter 3 of the                     Regulatory technical standards on strong customer authentication and common                     and secure communication, Commission Delegated Regulation (EU) 2018/389), and	          e.     fraud types.	1
1-guideline.txt	7.6   For those payment transactions that qualify for Data Breakdown H in Annex 2, the payment       service provider offering payment initiation services should record and report data on       volumes and values with the following breakdowns:	a.   geographical perspective,	1
1-guideline.txt	a.   geographical perspective,	b.   payment instrument,	1
1-guideline.txt	b.   payment instrument,	c.   payment channel, and	1
1-guideline.txt	c.   payment channel, and	d.   authentication method.	1
1-guideline.txt	7.8   The payment service provider offering credit transfer and card based payment services       should provide data in accordance with Data Breakdowns A, C and/or D in Annex 2,       depending on the payment instrument used for a given payment transaction and on the role       of the payment service provider. The data include:	            a.   geographical perspective,	1
1-guideline.txt	            a.   geographical perspective,	            b.   payment channel,	1
1-guideline.txt	            b.   payment channel,	            c.   authentication method,	1
1-guideline.txt	            c.   authentication method,	            d.   reason for not applying strong customer authentication (referring to exemptions                  to strong customer authentication detailed in chapter 3 of the RTS on SCA and                  CSC),	1
1-guideline.txt	            d.   reason for not applying strong customer authentication (referring to exemptions                  to strong customer authentication detailed in chapter 3 of the RTS on SCA and                  CSC),	            e.   fraud types,	1
1-guideline.txt	            e.   fraud types,	            f.   card function for Data Breakdowns C and D, and	1
1-guideline.txt	            f.   card function for Data Breakdowns C and D, and	            g.   payment transactions initiated via a payment initiation service provider for Data                  Breakdown A.	1
1-guideline.txt	7.10 The payment service provider should provide data in accordance with Data Breakdown B in      Annex 2 for all payment transactions and fraudulent payment transactions executed using      direct debits. The data include:	            a.   geographical perspective,	1
1-guideline.txt	            a.   geographical perspective,	            b.   channel used for the consent to be given, and	1
1-guideline.txt	            b.   channel used for the consent to be given, and	            c.   fraud types.	1
1-guideline.txt	1.1.   For the purposes of reporting statistical data on fraud to the EBA and the ECB in accordance        with these Guidelines and with Article 96(6) PSD2, the competent authority should report for        each reporting period:	a.   unauthorised payment transactions made, including as a result of the loss, theft or                  misappropriation of sensitive payment data or a payment instrument, whether                  detectable or not to the payer prior to a payment and whether or not caused by                  gross negligence of the payer or executed in the absence of consent by the payer                  (‘unauthorised payment transaction’); and	1
1-guideline.txt	a.   unauthorised payment transactions made, including as a result of the loss, theft or                  misappropriation of sensitive payment data or a payment instrument, whether                  detectable or not to the payer prior to a payment and whether or not caused by                  gross negligence of the payer or executed in the absence of consent by the payer                  (‘unauthorised payment transaction’); and	b.   payment transactions made as a result of the payer being manipulated by the                  fraudster to issue a payment order, or to give the instruction to do so to the                  payment service provider, in good-faith, to a payment account it believes belongs                  to a legitimate payee (‘manipulation of the payer’).	1
1-guideline.txt	b.   payment transactions made as a result of the payer being manipulated by the                  fraudster to issue a payment order, or to give the instruction to do so to the                  payment service provider, in good-faith, to a payment account it believes belongs                  to a legitimate payee (‘manipulation of the payer’).	           c.    For non-card based payment transactions and remote card based payment                  transactions, ‘cross-border payment transactions within the EEA’ refer to payment                  transactions initiated by a payer, or by or through a payee, where the payer’s                  payment service provider and the payee’s payment service provider are located in                  different Member States.	1
1-guideline.txt	           c.    For non-card based payment transactions and remote card based payment                  transactions, ‘cross-border payment transactions within the EEA’ refer to payment                  transactions initiated by a payer, or by or through a payee, where the payer’s                  payment service provider and the payee’s payment service provider are located in                  different Member States.	d.    For non-remote card-based payment transactions, ‘domestic payment                  transactions’ refer to payment transactions where the payer’s payment service                  provider (issuer), the payee’s payment service provider (acquirer) and the POS or                  ATM used are located in the same Member State. If the payer’s payment service                  provider and the payee’s payment service provider are in different Member States                  or the payer’s payment service provider (issuer) is located in a Member State                  different from that of the POS or ATM, the transaction is a ‘cross-border payment                  transaction within the EEA’.	1
1-guideline.txt	d.    For non-remote card-based payment transactions, ‘domestic payment                  transactions’ refer to payment transactions where the payer’s payment service                  provider (issuer), the payee’s payment service provider (acquirer) and the POS or                  ATM used are located in the same Member State. If the payer’s payment service                  provider and the payee’s payment service provider are in different Member States                  or the payer’s payment service provider (issuer) is located in a Member State                  different from that of the POS or ATM, the transaction is a ‘cross-border payment                  transaction within the EEA’.	e.    ‘Cross-border payment transactions outside the EEA’ refer to payment transactions                  initiated by a payer, or by or through a payee, where either the payer’s or the                  payee’s payment service provider is located outside the EEA while the other is                  located within the EEA.	1
1-guideline.txt	e.    ‘Cross-border payment transactions outside the EEA’ refer to payment transactions                  initiated by a payer, or by or through a payee, where either the payer’s or the                  payee’s payment service provider is located outside the EEA while the other is                  located within the EEA.	f.    ‘Total fraudulent payment transactions’ refer to all the transactions mentioned in                  Guideline 1.1, regardless of whether the amount of the fraudulent payment                  transaction has been recovered.	1
1-guideline.txt	f.    ‘Total fraudulent payment transactions’ refer to all the transactions mentioned in                  Guideline 1.1, regardless of whether the amount of the fraudulent payment                  transaction has been recovered.	g.    ‘Modification of a payment order by the fraudster’ is a type of unauthorised                  transaction as defined in Guideline 1.1(a) and refers to a situation where the                  fraudster intercepts and modifies a legitimate payment order at some point during                  the electronic communication between the payer’s device and the payment service                  provider (for instance through malware or man-in-the middle attacks) or modifies                  the payment instruction in the payment service provider’s system before the                  payment order is cleared and settled.	1
1-guideline.txt	g.    ‘Modification of a payment order by the fraudster’ is a type of unauthorised                  transaction as defined in Guideline 1.1(a) and refers to a situation where the                  fraudster intercepts and modifies a legitimate payment order at some point during                  the electronic communication between the payer’s device and the payment service                  provider (for instance through malware or man-in-the middle attacks) or modifies                  the payment instruction in the payment service provider’s system before the                  payment order is cleared and settled.	h.    ‘Issuance of a payment order by the fraudster’ is a type of unauthorised transaction                  as defined in Guideline 1.1(a) and refers to a situation where a fake payment order                  is issued by the fraudster after having obtained the payer’s/payee's sensitive                  payment data through fraudulent means.	1
1-guideline.txt	1.4.   Competent authorities should report data from payment service providers offering payment        initiation services in accordance with the following:	a. ‘Domestic payment transactions’ refer to payment transactions, where the                  payment initiation service provider and the account servicing payment service                  provider are located in the same Member State.	1
